audit_id,instance_id,model_id,split,probe,clean_answer,probe_answer,cosine_similarity,current_threshold,current_match,human_match
semantic_0001,vizwiz_VizWiz_val_00001118_1118,Qwen/Qwen3-VL-8B-Instruct,val,blur,file system on c is mfs,unanswerable,-0.04741471,0.82,0,0
semantic_0002,vizwiz_VizWiz_val_00001989_1989,google/gemma-4-E4B-it,train,blank,ryththe,i cannot see any words or captcha in image you provided image is solid gray color,0.03256273,0.82,0,0
semantic_0003,vizwiz_VizWiz_val_00001390_1390,Qwen/Qwen3-VL-8B-Instruct,train,blur,laptop screen showing windows startup repair dialog asking if user wants to restore computer using system restore,unanswerable,0.07220761,0.82,0,0
semantic_0004,vizwiz_VizWiz_val_00001390_1390,Qwen/Qwen3-VL-8B-Instruct,train,blank,laptop screen showing windows startup repair dialog asking if user wants to restore computer using system restore,there is no writing or discernible content on image it is solid gray background,0.11336145,0.82,0,0
semantic_0005,vizwiz_VizWiz_val_00000198_198,Qwen/Qwen3-VL-8B-Instruct,val,noise,stopped working,no,0.12455888,0.82,0,0
semantic_0006,vizwiz_VizWiz_val_00002005_2005,Qwen/Qwen3-VL-8B-Instruct,val,noise,purina,proactive health,0.14999638,0.82,0,0
semantic_0007,vizwiz_VizWiz_val_00001677_1677,Qwen/Qwen3-VL-8B-Instruct,train,blur,unanswerable,green tea,0.1742765,0.82,0,0
semantic_0008,vizwiz_VizWiz_val_00002218_2218,Qwen/Qwen3-VL-8B-Instruct,train,blur,nestea,lemonade,0.1954875,0.82,0,0
semantic_0009,vizwiz_VizWiz_val_00002960_2960,Qwen/Qwen3-VL-8B-Instruct,train,grounding,laptop,product box for stylus or pen like device,0.21877743,0.82,0,0
semantic_0010,vizwiz_VizWiz_val_00000003_3,Qwen/Qwen3-VL-8B-Instruct,val,blank,right,none,0.23029695,0.82,0,0
semantic_0011,vizwiz_VizWiz_val_00001123_1123,Qwen/Qwen3-VL-8B-Instruct,val,crop,win32k sys,blue screen of death,0.25637412,0.82,0,0
semantic_0012,vizwiz_VizWiz_val_00001989_1989,google/gemma-4-E4B-it,train,noise,ryththe,two words are bythe and,0.27879712,0.82,0,0
semantic_0013,vizwiz_VizWiz_val_00001787_1787,google/gemma-4-E4B-it,val,blank,this item appears to be set of cookware likely including pot and lid packaged in box,image provided is solid gray color and does not contain any discernible item,0.29087558,0.82,0,0
semantic_0014,vizwiz_VizWiz_val_00002888_2888,Qwen/Qwen3-VL-8B-Instruct,val,blank,can t tell,no dog,0.31369314,0.82,0,0
semantic_0015,vizwiz_VizWiz_val_00000407_407,Qwen/Qwen3-VL-8B-Instruct,val,crop,jaws not responding,battery dead,0.32782692,0.82,0,0
semantic_0016,vizwiz_VizWiz_val_00001890_1890,Qwen/Qwen3-VL-8B-Instruct,train,blur,dog eating from cup,blurry picture of dog,0.34989434,0.82,0,0
semantic_0017,vizwiz_VizWiz_val_00002775_2775,Qwen/Qwen3-VL-8B-Instruct,val,blank,golden pheasant,seagull,0.36638725,0.82,0,0
semantic_0018,vizwiz_VizWiz_val_00002009_2009,google/gemma-4-E4B-it,val,brightness,white or light gray,embroidery appears to be light possibly gold or beige color,0.38725698,0.82,0,0
semantic_0019,vizwiz_VizWiz_val_00000612_612,Qwen/Qwen3-VL-8B-Instruct,val,grounding,serial x11 04457,serial number x11 04457 tag microsoft certificate of authenticity sticker partially torn,0.40233028,0.82,0,1
semantic_0020,vizwiz_VizWiz_val_00001677_1677,google/gemma-4-E4B-it,train,blank,text mentions that coffee is specialty coffee but it does not specify particular flavor,i cannot determine flavor from image provided as it is solid gray color with no discernible features or context,0.42197031,0.82,0,0
semantic_0021,vizwiz_VizWiz_val_00001118_1118,google/gemma-4-E4B-it,val,blur,visible text on screen is ste on c is ntfs f11e system packard be11 checked for con 15 strongly,text on your screen is too blurry to read,0.44129547,0.82,0,0
semantic_0022,vizwiz_VizWiz_val_00000089_89,Qwen/Qwen3-VL-8B-Instruct,train,crop,that s all information we need right now your computer will restart installation expanding windows files 52,installing windows,0.46224099,0.82,0,0
semantic_0023,vizwiz_VizWiz_val_00002307_2307,Qwen/Qwen3-VL-8B-Instruct,val,blank,500,0,0.47839549,0.82,0,0
semantic_0024,vizwiz_VizWiz_val_00002761_2761,Qwen/Qwen3-VL-8B-Instruct,train,noise,cast iron skillet,pan,0.50863326,0.82,0,1
semantic_0025,vizwiz_VizWiz_val_00002887_2887,Qwen/Qwen3-VL-8B-Instruct,train,crop,clear,blurry,0.52830356,0.82,0,0
semantic_0026,vizwiz_VizWiz_val_00001387_1387,google/gemma-4-E4B-it,train,blur,card advertises 150 is yours when you open qualifying chase checking account and features 150 gift card offer,image shows sign with text 150 is yours and picture of credit card below it,0.5402981,0.82,0,0
semantic_0027,vizwiz_VizWiz_val_00001856_1856,google/gemma-4-E4B-it,train,blank,visible text on label includes n c als tion full text is not visible,image provided is solid gray color and does not contain any visible text or labels,0.55816603,0.82,0,0
semantic_0028,vizwiz_VizWiz_val_00000002_2,google/gemma-4-E4B-it,val,noise,title of book appears to be long years,i cannot determine title of book from provided image,0.5729779,0.82,0,0
semantic_0029,vizwiz_VizWiz_val_00000640_640,google/gemma-4-E4B-it,val,noise,it is photograph of street scene likely taken from elevated position like window,image appears to be blurry out of focus photograph of street or road passing in front of building,0.5918979,0.82,0,0
semantic_0030,vizwiz_VizWiz_val_00002887_2887,google/gemma-4-E4B-it,train,grounding,text is clear,clear,0.60495001,0.82,0,1
semantic_0031,vizwiz_VizWiz_val_00002775_2775,google/gemma-4-E4B-it,val,blank,this bird is tanager,i cannot identify bird because there is no image provided,0.6214748,0.82,0,0
semantic_0032,vizwiz_VizWiz_val_00002694_2694,google/gemma-4-E4B-it,val,grounding,use number pad 1 9 to enter desired number of minutes and then press descong or auto coccion button to start cooking,numerical keypad 0 9 is used to input desired number of minutes which is then typically confirmed by pressing start button not explicitly labeled as start but implied by operation,0.6368469,0.82,0,1
semantic_0033,vizwiz_VizWiz_val_00002042_2042,google/gemma-4-E4B-it,train,blur,i cannot identify product from image provided as it only shows person s hair,i cannot identify product from image provided because it is too blurry,0.65068376,0.82,0,0
semantic_0034,vizwiz_VizWiz_val_00001958_1958,Qwen/Qwen3-VL-8B-Instruct,val,grounding,cream cheese,cream of mushroom,0.66054994,0.82,0,0
semantic_0035,vizwiz_VizWiz_val_00000060_60,google/gemma-4-E4B-it,val,brightness,image provided is book cover but without more context or actual content i cannot definitively tell you theme of book title visible is live cussler and dirk cussler,based on image book is titled alive by dirk cussler theme of book is likely related to survival adventure or high stakes situation given title and dramatic cover art featuring ship in rough weather,0.6694057,0.82,0,0
semantic_0036,vizwiz_VizWiz_val_00001896_1896,google/gemma-4-E4B-it,train,brightness,french vanilla,coffee is maxwell house french vanilla,0.69358253,0.82,0,1
semantic_0037,vizwiz_VizWiz_val_00000656_656,google/gemma-4-E4B-it,train,blank,i am sorry but serial number is not clearly visible in image provided,i am sorry but image you provided is solid gray color and does not show laptop back or any serial number therefore i cannot tell you what serial number is,0.71747148,0.82,0,1
semantic_0038,vizwiz_VizWiz_val_00002468_2468,google/gemma-4-E4B-it,train,brightness,no,yes,0.73349512,0.82,0,0
semantic_0039,vizwiz_VizWiz_val_00002009_2009,Qwen/Qwen3-VL-8B-Instruct,val,grounding,white,white or silver,0.74688298,0.82,0,1
semantic_0040,vizwiz_VizWiz_val_00002188_2188,google/gemma-4-E4B-it,train,blur,shirt has graphic featuring stylized image including what appears to be figure with dark hair and red pink lettering that reads fireball,shirt has graphic print featuring stylized design including what appears to be red and white logo element and dark detailed image possibly of character or creature,0.75993299,0.82,0,1
