audit_id,image_file,question,gold_answer,clean_answer,probe_results_json,clean_correct,visual_fragile,language_persistence,alignment_instability,label6,insufficient_or_contradictory
audit_0001,images/audit_0001.png,What is this?,xm radio,pioneer car stereo,"[{""probe"":""blank"",""answer"":""gray background"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""pioneer"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""xm radio receiver"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""radio"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""pioneer xm satellite radio receiver"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""pioneer device"",""applicable"":true,""valid"":true}]",,,,,,
audit_0002,images/audit_0002.png,What magazine is this?,good housekeeping,Good Housekeeping,"[{""probe"":""blank"",""answer"":""none"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""good housekeeping"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""good housekeeping"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""good housekeeping"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""good housekeeping"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""good housekeeping"",""applicable"":true,""valid"":true}]",,,,,,
audit_0003,images/audit_0003.png,What's that brand name say? I'd like to know what company made that stereo.,sony,The brand name says **SONY**.,"[{""probe"":""blank"",""answer"":""i m sorry but there is no visible brand name or stereo in image you provided image is solid gray color"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""brand name says sony"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""brand name says sony"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""brand name says sony"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""sony"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""brand name says sony"",""applicable"":true,""valid"":true}]",,,,,,
audit_0004,images/audit_0004.png,Is there a kite in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0005,images/audit_0005.png,Is there a clock in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0006,images/audit_0006.png,What does this screen say?,windows boot manager,"The screen displays a Windows Boot Manager error message, which includes text like:

*   ""start. A recent hardware or software change problem:""
*   ""Windows installation disc and restart your computer. Choose a language settings, and then click ""Next,""""
*   ""or your computer.""
*   ""e this disc, contact your system administrator assistance.""
*   ""red device isn't connected or can't be acc"" (likely ""read device isn't connected or can't be accessed"")","[{""probe"":""blank"",""answer"":""screen is solid gray color and contains no visible text"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""screen displays several error messages including start recent hardware or software prob lem windows installation disc and restart please language settings and then click next on your computer write disc contact your system administrator for assistance could device isn t connected or can t be det ected"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""screen displays windows boot manager error message which includes text about recent hardware or software problem instructions to restart computer and specific error code 0000e indicating problem with connected or accessible device"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""screen displays windows boot manager error message indicating problem with hardware or software and suggests checking installation disc or system settings"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""screen displays multiple error messages from windows boot manager indicating problems such as recent hardware software changes need to use windows installation disc to repair computer and specific error code 0000e stating that hard drive device isn t connected or can t be accessed"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""screen displays windows boot manager error message which includes text about recent hardware or software problem instructions to restart windows installation disc and final error message indicating red device isn t connected or can t be accessed"",""applicable"":true,""valid"":true}]",,,,,,
audit_0007,images/audit_0007.png,"According to the image, is New York the only U.S. state that shares a border with Lake Huron?",no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0008,images/audit_0008.png,The toilet contains the cat.,true,true,"[{""probe"":""blank"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""true"",""applicable"":true,""valid"":true}]",,,,,,
audit_0009,images/audit_0009.png,Is there a giraffe in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0010,images/audit_0010.png,What is this bottle?,unanswerable,vitamin,"[{""probe"":""blank"",""answer"":""no bottle"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""vitamin"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""vitamin"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""unanswerable"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""supplement or health product bottle"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""medicine"",""applicable"":true,""valid"":true}]",,,,,,
audit_0011,images/audit_0011.png,"According to the text given in the image, is this ice-cream a strawberry flavor ice cream?",yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0012,images/audit_0012.png,Is there a dining table in the image?,yes,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0013,images/audit_0013.png,Is there a bus in the image?,yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0014,images/audit_0014.png,Is there a bottle in the image?,yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0015,images/audit_0015.png,Can you tell what this says?,unanswerable,System Restore dialog asking if user wants to restore computer to earlier point in time.,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""restore your computer using system restore"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""system restore dialog asking to restore computer to earlier point warning that personal data won t be changed but some programs may be removed and action is irreversible"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0016,images/audit_0016.png,Is there a motorcycle in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0017,images/audit_0017.png,Is there a person in the image?,yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0018,images/audit_0018.png,The sink is touching the cat.,true,true,"[{""probe"":""blank"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""true"",""applicable"":true,""valid"":true}]",,,,,,
audit_0019,images/audit_0019.png,What color is the coat in the picture?,red,Red.,"[{""probe"":""blank"",""answer"":""coat is gray"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""red"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""red"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""red"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""red"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""red"",""applicable"":true,""valid"":true}]",,,,,,
